,buy,sell
299,,
300,,1.0614400000000057
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,1.0774400000000066
309,,
310,,
311,,
312,,
313,,1.0854400000000066
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,1.1014400000000073
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,1.1174400000000082
331,,
332,,
333,,
334,,1.1254400000000084
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,1.1414400000000091
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,1.1574400000000098
352,,
353,,
354,,
355,,
356,,1.1654400000000096
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,0.0025599999999998953,1.1814400000000103
365,0.02655999999999991,
366,0.050559999999999924,
367,0.07455999999999977,
368,0.09855999999999994,
369,0.1225599999999998,1.1894400000000103
370,0.14656,
371,0.17055999999999982,
372,0.19456,
373,0.21855999999999987,
374,0.24256000000000003,
375,0.2585599999999998,
376,0.2825599999999999,
377,0.3065599999999997,
378,0.3305599999999999,1.2054400000000107
379,0.35455999999999976,
380,0.3705599999999998,
381,0.39455999999999997,
382,0.41056,1.213440000000011
383,0.43455999999999984,
384,0.4585599999999997,
385,0.47455999999999976,
386,0.4985599999999999,
387,0.5145599999999999,1.221440000000011
388,0.5305599999999999,
389,0.5545599999999997,
390,0.5705599999999997,
391,0.5865599999999997,
392,0.6044429999999992,
393,0.6185599999999998,
394,0.6345599999999998,
395,0.6505599999999998,
396,0.6669512727272721,1.247504516129043
397,0.6825599999999998,
398,0.6905599999999996,
399,0.7065599999999996,1.5494399999999997
400,0.7225599999999996,1.2536562162162272
401,0.7305599999999999,1.5494399999999997
402,0.7465599999999999,
403,0.7548602790697662,1.5494399999999997
404,0.7705599999999997,1.5494399999999997
405,0.7785599999999999,1.2534400000000114
406,0.7865599999999998,1.5494399999999997
407,0.794604833333333,1.5494399999999997
408,0.8025599999999997,
409,0.8105599999999998,
410,0.8185599999999996,
411,0.82656,1.5494399999999997
412,0.8265599999999999,
413,0.8346624761904755,1.2694400000000121
414,0.8425600000000001,1.5494399999999997
415,0.84256,
416,0.84256,1.5494399999999997
417,0.8505599999999998,
418,0.8505599999999999,1.277440000000012
419,0.8505599999999996,
420,0.8505599999999998,1.5494399999999997
421,0.8506355087719292,
422,0.8505599999999998,1.5494399999999997
423,0.8505599999999998,1.2854400000000121
